user,link,posted_at,score
saraunderwood,https://www.instagram.com/p/BcsOzOvF7w8/,2017-12-14T17:31:12.000Z,10
missamandaparis,https://www.instagram.com/p/BceL36Wlr93/,2017-12-09T06:36:15.000Z,10
lacikaysomers,https://www.instagram.com/p/BbFSJn7l0GY/,2017-11-04T17:58:41.000Z,10
leannabartlett,https://www.instagram.com/p/BeVz1CFFalI/,2018-01-24T17:35:00.000Z,10
emrata,https://www.instagram.com/p/BeYMNBbFApv/,2018-01-25T15:46:29.000Z,10
simplytattooed,https://www.instagram.com/p/BeZFG0dBPSu/,2018-01-26T00:03:42.000Z,20
leannabartlett,https://www.instagram.com/p/Bawpx6WluD5/,2017-10-27T17:41:07.000Z,10
bimberkeck_,https://www.instagram.com/p/BcLhKRVlgQU/,2017-12-02T00:36:41.000Z,10
anastasiahenesey,https://www.instagram.com/p/BNh4_mFgNMA/,2016-12-02T21:17:19.000Z,10
dan_hecho,https://www.instagram.com/p/BcEt5XJn0l_/,2017-11-29T09:13:17.000Z,10
lacikaysomers,https://www.instagram.com/p/BdEI5bPF0_9/,2017-12-24T00:21:23.000Z,10
simplytattooed,https://www.instagram.com/p/BeN062UH_Pe/,2018-01-21T15:10:37.000Z,10
osphilia_,https://www.instagram.com/p/Bd7sP5HgLRR/,2018-01-14T14:08:31.000Z,10
anastasiahenesey,https://www.instagram.com/p/BM4f9QXgfRM/,2016-11-16T19:29:41.000Z,10
bryanaholly,https://www.instagram.com/p/Bb31M9IARj4/,2017-11-24T09:07:00.000Z,10
hot_is_the_new_black,https://www.instagram.com/p/BaeOrpfgeSK/,2017-10-20T13:58:00.000Z,10
kinadoll89,https://www.instagram.com/p/BdluqTYFPOg/,2018-01-06T01:26:18.000Z,10
abigailratchford,https://www.instagram.com/p/BdjlcO5l_qo/,2018-01-05T05:27:16.000Z,10
missamandaparis,https://www.instagram.com/p/Bei1JXal1Wv/,2018-01-29T18:56:39.000Z,20
dan_hecho,https://www.instagram.com/p/BdtCT91HkF_/,2018-01-08T21:32:42.000Z,10
saraunderwood,https://www.instagram.com/p/BejT44rlCFt/,2018-01-29T23:25:17.000Z,10
playmateiryna,https://www.instagram.com/p/BdsWH1VHkz6/,2018-01-08T15:09:22.000Z,10
leannabartlett,https://www.instagram.com/p/BapRUNgl0Vx/,2017-10-24T20:52:40.000Z,10
dan_hecho,https://www.instagram.com/p/BeGLdLjHfZ_/,2018-01-18T15:53:37.000Z,10
leannabartlett,https://www.instagram.com/p/BbVAvzkltb1/,2017-11-10T20:34:28.000Z,10
jessicakes33,https://www.instagram.com/p/Bej2kZBnhkw/,2018-01-30T04:28:19.000Z,0
jessicakes33,https://www.instagram.com/p/Bd24Ge5nWoo/,2018-01-12T17:16:32.000Z,10
lindseypelas,https://www.instagram.com/p/BcyPJAdHJkg/,2017-12-17T01:29:37.000Z,10
dan_hecho,https://www.instagram.com/p/BcJ2PXUHhmP/,2017-12-01T09:02:24.000Z,10
